text,language
Hello how are you doing today?,0
The weather is really nice this morning,0
I am learning machine learning and data science,0
This restaurant serves amazing food,0
She went to the market to buy some fruits,0
The movie last night was really entertaining,0
He is working on a new software project,0
The children are playing in the park,0
We are planning a trip to the mountains,0
This book is very interesting and well written,0
سلام حال شما چطور است امروز,1
هوا امروز صبح واقعا خوب است,1
من در حال یادگیری هوش مصنوعی هستم,1
این رستوران غذای فوق العاده ای دارد,1
او برای خرید میوه به بازار رفت,1
فیلم دیشب واقعا سرگرم کننده بود,1
او در حال کار روی یک پروژه جدید است,1
بچه ها در پارک بازی می کنند,1
ما در حال برنامه ریزی برای سفر به کوهستان هستیم,1
این کتاب خیلی جالب و خوب نوشته شده است,1
مرحبا كيف حالك اليوم,2
الطقس جميل جدا هذا الصباح,2
أنا أتعلم الذكاء الاصطناعي وعلوم البيانات,2
هذا المطعم يقدم طعاما رائعا,2
ذهبت إلى السوق لشراء بعض الفواكه,2
كان الفيلم الليلة الماضية ممتعا حقا,2
هو يعمل على مشروع برمجي جديد,2
الأطفال يلعبون في الحديقة,2
نحن نخطط لرحلة إلى الجبال,2
هذا الكتاب مثير للاهتمام ومكتوب بشكل جيد,2
